id,type,prob_Ia
1538274014415015013,QSO,0.465
1214452403315015009,Ia,0.794
1352394471315010001,EB*,0.843
1410240763515015013,RRLyr,0.666
1371276495215015007,EB*,0.61
1295448324615015018,YSO,0.52
1427073630015010018,Orion_V*,0.17
1416175320515010003,EB*,0.623
1287222874215015024,EB*,0.557
1294408250215010007,EB*,0.354
1293213401915010011,RRLyr,0.522
1415287466215010010,RRLyr,0.834
1284470942215010015,Star,0.398
1371257472115015010,RRLyr,0.239
1389150871515015020,Star,0.488
1285202682515010024,QSO,0.222
1352405021315015006,EB*,0.708
1521487032915015006,Mira,0.256
1306441463315010001,QSO,0.324
1299349644815010002,QSO,0.624
1411476195415015004,QSO,0.616
1410284225715015002,EB*,0.337
1399131935215015004,Star,0.4
1294275970015010023,Star,0.671
1413113130415010009,RRLyr,0.766
1376426110615010004,RRLyr,0.442
1549211705615015001,LPV*,0.174
1289271631915010018,RRLyr,0.473
1417344746115010001,CataclyV*,0.653
1371238945215010000,Star,0.371
1425114235215015008,Mira,0.155
1411075811815010014,EB*,0.733
1428141923715010004,QSO,0.712
1526166592615015002,EB*,0.601
1421148735315015026,Star,0.414
1416297294715015007,C*,0.292
1278367854015010000,RRLyr,0.659
1077101441715010011,Ia,0.315
1342343613915015001,DwarfNova,0.783
1519301524015010002,SN,0.282
1401365486015015019,EB*,0.411
1403322744515010004,RRLyr,0.746
1359435375315010002,LPV*,0.263
1536184151315015007,Star,0.203
1237430006215015007,CV,0.755
1295414783715010002,DwarfNova,0.624
1284238702915015006,EB*,0.665
1384221754515010020,LPV*,0.68
1524294970915015013,QSO,0.23
1364521654615015006,Star,0.836
1292213683815015002,QSO,0.685
1382385943615010010,DwarfNova,0.681
1423529683015015030,QSO,0.72
1244275172315015009,SNIIn,0.787
1352229531015015013,RRLyr,0.702
1425335563115010025,DwarfNova,0.477
1477484444615015009,SNII,0.495
1295450240815010023,RRLyr,0.227
1421111186015015000,LPV*,0.113
1404117600715015018,Mira,0.438
1385090063315010029,RRLyr,0.386
1526449733215010000,RRLyr,0.318
1524182171815010000,RRLyr,0.193
1295308940815010020,RRLyr,0.719
1549282973715015002,SLSN-II,0.332
1413164475815010001,RRLyr,0.715
1404099233915010014,RRLyr,0.463
1381102875015015008,V*,0.434
1524214234815015015,RotV*,0.337
1410140573615015010,AGN,0.528
1413200354715010081,Star,0.404
1305411601515015016,RRLyr,0.45
1295446920015015036,Star,0.222
1356323791015015014,BLLac,0.419
1401190262915015003,RRLyr,0.17
1293245323015015007,QSO,0.719
1244352622415015010,AGN,0.49
1284356201115015038,RRLyr,0.83
1361275645415010015,Star,0.686
1427507225815015002,Ia,0.806
1520355674615015001,EB*,0.374
1417088941415010001,RRLyr,0.861
1550204276215015006,EB*,0.629
1399234882815015004,EB*,0.208
1542280352615010004,QSO,0.692
1343346604815010004,Star,0.31
1410322544615015035,EB*,0.585
1365217250715010008,RRLyr,0.63
1398124276315015010,RRLyr,0.674
1343431294715010017,C*,0.234
1345381192115010022,Star,0.173
1280244521215010001,RRLyr,0.452
1307229580615010016,RRLyr,0.333
1395381755715015001,EB*,0.516
1423391553815015023,EB*,0.414
1299317164415015007,RRLyr,0.863
1150251752815015008,CV,0.422
1543352486115015007,RRLyr,0.561
1395244011515015000,Star,0.454
1356444492115010226,RRLyr,0.887
1382299614315010003,QSO,0.428
1423095754215015016,Star,0.687
1361285842915015006,RRLyr,0.661
1521509351615010002,RRLyr,0.731
1403135774015010002,SNII,0.283
1415144593915015012,Mira,0.152
1402482854215010020,Star,0.559
1382247454215015011,EB*,0.445
1339470482315010004,EB*,0.855
1417397712515010023,RRLyr,0.767
1384235615515010011,RRLyr,0.306
1301353693715010016,LPV*,0.149
1422458705815015025,LPV*,0.116
1380203665815015012,EB*,0.691
1341185792315010002,RRLyr,0.219
1042102502615015007,Ia,0.734
1297369976215010022,Star,0.4
1294275971815015000,Mira,0.432
1302418126115010009,RRLyr,0.744
1427471564315015002,EB*,0.344
1391422995415015061,EB*,0.519
1424114421315015005,LPV*,0.221
1154553572415015009,SNII,0.812
1356352653415010009,RRLyr,0.884
1290318140715010000,RRLyr,0.203
1339392984415015001,EB*,0.326
1524237474915010000,QSO,0.635
1365466554215015009,C*,0.378
1359392025915015011,EB*,0.536
1403467912015010013,RRLyr,0.622
1422422816015015016,EB*,0.268
1360310131115015007,RRLyr,0.368
1357240935915015001,QSO,0.251
1522431866115015002,QSO,0.695
1415493062515015005,TDE,0.881
1395358044415015001,RRLyr,0.337
1341296714115010002,EB*,0.669
1297169490015010012,QSO,0.787
1422491500415010001,QSO,0.759
1278324132815010005,CataclyV*,0.799
1543346151515015006,RRLyr,0.737
1428118340515015008,Ia,0.801
1544437474315010005,Mira,0.263
1377192360515010044,RRLyr,0.681
1371195012515015000,RRLyr,0.666
1352379521315015039,RRLyr,0.782
1358330944315010013,QSO,0.338
1524193093015010034,deltaCep,0.338
1539281576215015000,QSO,0.275
1549149341415010132,Star,0.28
1419447874715025017,V*,0.567
1526281713515010005,QSO,0.218
1293329011015010057,RRLyr,0.588
1356313872815010022,LPV*,0.737
1413207016215015004,QSO,0.345
1411191030415010004,EB*,0.74
1296371771515015007,RRLyr,0.362
1413408244815010015,EB*,0.31
1414260261015010067,Mira,0.347
1405470044615015006,EB*,0.279
1284292005015010025,EB*,0.576
1413474944615010027,EB*,0.29
1361360570315010017,EB*,0.836
1381123686115010001,Star,0.244
1525145023815015012,C*,0.151
1302272664215010010,RRLyr,0.738
1384308491415010006,EB*,0.739
1526235462215010030,QSO,0.26
1425158395215015034,Em*,0.82
1284266575515015003,RRLyr,0.816
1396178513715010000,RRLyr,0.179
1415321793715015003,Ia,0.887
1287213325415010000,QSO,0.502
1353275401315010007,RRLyr,0.664
1381109952515010007,BLLac,0.781
1303351685615010022,Star,0.395
1343410782315015005,EB*Algol,0.616
